,ArtistId,artist,genre,count,sum
146,79,Dennis Chambers,Jazz,9,711
147,10,Billy Cobham,Jazz,8,80
148,7,Apocalyptica,Metal,8,56
149,136,"Terry Bozzio, Tony Levin & Steve Stevens",Rock,7,952
150,147,Battlestar Galactica,TV Shows,5,735
151,2,Accept,Rock,4,8
152,148,Heroes,TV Shows,3,444
153,248,Berliner Philharmoniker & Herbert Von Karajan,Classical,3,744
154,27,Gilberto Gil,Jazz,3,81
155,226,Eugene Ormandy,Classical,3,678
156,214,Academy of St. Martin in the Fields & Sir Neville Marriner,Classical,2,428
157,147,Battlestar Galactica,Sci Fi & Fantasy,2,294
158,247,The King's Singers,Classical,2,494
159,208,English Concert & Trevor Pinnock,Classical,2,416
160,245,Michael Tilson Thomas & San Francisco Symphony,Classical,2,490
161,197,Aisha Duo,Jazz,2,394
162,198,Habib Koité and Bamada,World,2,396
163,199,Karsh Kale,Electronica/Dance,2,398
164,200,The Posies,Rock,2,400
165,220,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Classical,1,220
166,210,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Classical,1,210
167,241,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",Classical,1,241
168,223,London Symphony Orchestra & Sir Charles Mackerras,Classical,1,223
169,206,Alberto Turco & Nova Schola Gregoriana,Classical,1,206
170,235,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",Classical,1,235
171,202,Aaron Goldberg,Jazz,1,202
172,209,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Classical,1,209
173,224,Barry Wordsworth & BBC Concert Orchestra,Classical,1,224
174,246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Classical,1,246
175,225,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Classical,1,225
176,221,Sir Georg Solti & Wiener Philharmoniker,Classical,1,221
177,254,Otto Klemperer & Philharmonia Orchestra,Classical,1,254
178,218,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,Classical,1,218
